,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 15:31,27-08-2026,Pandurangan,KANCHI GLOBAL MAT HR SEC SCHOOL,KANCHIPURAM,50*,principal,Principal,,9789441145,,,No,,Warm,,,,,,,,,,"Spoken with principal, Got permission.planning to contact the orientation program dec month",dept month contact the program
27/08/2026 15:31,27-08-2026,Pandurangan,SSKV BOYS SCHOOL,KANCHIPURAM,300*,vp,Vice Principal,,8056028805,,,No,,Cold,,,,,,,,,,"Spoken with vice principal, positive response, once discussion with management and call back week. Planning to contact orientation sept month last week if possible.","spoke with vp , she said once dis with principal and informed , positive response "
27/08/2026 15:31,27-08-2026,Pandurangan,CHOZHAN MAT HR SEC SCHOOL,KANCHIPURAM,50*,principal,,,Office number-04427231788,,,No,,Cold,,,,,,,,,,"Spoke with principal , Positive response once discussion with management and update , Call back next week",
27/08/2026 15:31,27-08-2026,Pandurangan,MLM MAMALLAN MAT HR SEC SCHOOL ,KANCHIPURAM,200*,SHAMLA PRINCIPAL ,,,9443020303,,,No,,Cold,,,,,,,,,,"Spoke with principal , Positive response once discussion with management and update , Call back next week",
27/08/2026 16:49,27-08-2026,Ajith Kumar,SRI SANKARA VIDYALAYA ,CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,,
27/08/2026 16:49,27-08-2026,Ajith Kumar,SRI NATESAN VIDHYASALAI MAT HR SEC SCHOOL,CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,,
27/08/2026 16:49,27-08-2026,Kingsten,SETHU BASKARA MAT HR SEC SCHOOL,AMBATTUR,1000,Mr. Armstrong ,Vice Principal,,9884439737,,,,Oct 10th Program,Hot,,,,,Oct 5th call back,Follow up with Principal,Program Confirmed,,,Permission confirmed - Oct 10 (tentative) ,
28/08/2026 11:20,27-08-2026,Ajith Kumar,SARASWATHI MAT HR SEC SCHOOL,CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,,
28/08/2026 11:51,28-08-2026,Manikandan,SHRI ANAND JAIN VIDHYALAYA,"Kakkan St, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045",,,,,,,,,,Cold,,,,,,,,,,Again need to visit. School Leave,
28/08/2026 11:53,28-08-2026,Pandurangan,SHIKSHAA PUBLIC SCHOOL,KANCHIPURAM,70*,rani,Admin,,9047878686,,,No,,Warm,,,,,,Schedule Career Guidance,Program Discussion Ongoing,,,"Positive response , Once discussion with management and update on Monday.","date will  be given after exam , may be sept end "
28/08/2026 11:57,28-08-2026,Pandurangan,BRIMMING HIGH INTERNATIONAL SCHOOL,KANCHIPURAM,80*,principal,Principal,,63855 02910/ 8883209999,,Career Guidance,No,AFETR SEPT 20th,CONDUCTED,,next week sept 8th,,,,Schedule Career Guidance,Program Confirmed,,,"Spoke with principal,Positive response,Once discussion with management and update.",
28/08/2026 15:36,28-08-2026,Manikandan,VALLUVAR GURUKULAM,"220, GST Road, Tambaram West, Chennai - 600045",400,Vijayalakshmi,Principal,,87525 95037,,Career Guidance,,,Warm,,,,,,Follow up with Principal,Follow-up Required,,,Got a positive response. Met the Principal. Both Matriculation and CBSE sections responded positively. They have discussed it with the common coordinator and management and will update us about the date.,
28/08/2026 15:36,28-08-2026,Manikandan,GURUKULAM VIDYASHRAM ,"128, Gandhi Road, Tambaram West, Chennai - 600045",400,Principal,Principal,,87525 95037,,,,,Warm,,,,,,,,,,Got a positive response. Met the Principal. Both Matriculation and CBSE sections responded positively. They have discussed it with the common coordinator and management and will update us about the date.,
28/08/2026 15:36,28-08-2026,Manikandan,THE MADRAS SEVA SADAN HIGHER SEC SCHOOL,"101, Gandhi Road, West Tambaram, Chennai - 600045",,,,,,,,,,Cold,,,,,,,,,,The principal and all the staff and students are at the sports day function so they ask us to come and meet tomorrow or any other day,
28/08/2026 15:36,28-08-2026,Pandurangan,VICTORIA MATRIC HR SEC SCHOOL,KANCHIPURAM,150*,VP,Admin,,OFFICE NO - 9381841929,,,No,,Cold,,,,,,,,,,Principal busy with meeting.,
28/08/2026 15:55,28-08-2026,Manikandan,ANNA MATRIC HR SEC SCHOOL,"Sudanandha Bharathi Street, Tambaram East, Chennai - 600059",27,,,,9840214050,,,,,Cold,,,,,,,,,,The Principal is out of station for a week. We met the admin staff - they have discuss it with the management and will let us know.,
28/08/2026 15:55,28-08-2026,Manikandan,CSI CORLEY HIGHER SEC SCHOOL,"13, MES Road, East Tambaram, Chennai - 600059",,,,,,,,,,Cold,,,,,,,,,,"The Principal mam is out of station for the sports day function. She is fully occupied this week, so we were unable to meet her.",
28/08/2026 15:55,28-08-2026,Manikandan,CHRIST KING GIRLS HR SEC SCHOOL,"28, Velachery Main Road, East Tambaram, Chennai - 600059",,,,,,,,,,Cold,,,,,,,,,,"The Principal mam is out of station for the sports day function. She is fully occupied this week, so we were unable to meet her.",
28/08/2026 15:55,28-08-2026,Manikandan,MCC CAMPUS MAT HR SEC SCHOOL ,"1, Air Force Station Road, East Tambaram, Chennai - 600059",,,,,9283316996,,,,,Cold,,,,,,,,,,"Principal mam was busy and out of station, We met the admin staff, they will convey the information and update us.",
28/08/2026 15:55,28-08-2026,Manikandan,SITADEVI GARODIA HINDU VIDYALAYA ,"No. 2, Kalamegam Street, East Tambaram, Chennai - 600059",100+,,,,044-2239-6125,,,,,Cold,,,,,,,,,,We had a positive response from Sitadevi Garodia Hindu Vidyalaya. Met the Principal and had a good discussion. She will discuss with the management and update us.,
28/08/2026 15:55,28-08-2026,Manikandan,ZION MAT HR SEC SCHOOL,"Ranganatha Nagar, Indira Nagar, Selaiyur, Chennai, Tamil Nadu 600073",400+ per branch,,,,72990 07455,,,,,Cold,,,,,,,,,,"Got a positive response. This is their head branch, so conveying information here is sufficient - they will inform all other branches. They have asked us to call back on Monday after they discuss with the principal.",
28/08/2026 15:55,28-08-2026,Pandurangan,BHARATHIDASAN MAT HR SEC SCHOOL ,KANCHIPURAM,400,,,,9629445551,,,,SEPTEMBER,Warm,,,,,,,,,,Got permission for orientation. Date will be confirmed on Monday next week.,
28/08/2026 15:55,28-08-2026,Pandurangan,SWAMI VIVEKANANDA MAT HR SEC SCHOOL ,KANCHIPURAM,250,,,,8012518278     8870446769         9791386770,,,,,Cold,,,,,,,,,,"We met the admin staff during school closing time. The Principal was in a meeting, so the admin staff did not allow us to meet her.","spoke with reception  , once informed wit principal and call back"
28/08/2026 16:06,28-08-2026,Manikandan,MOUNT CAMEL MAT HR SEC SCHOOL,TAMBARAM,37,,,,8012518343,,,,SEPTEMBER,Warm,,,,,,,,,,Got permission for orientation. Date will be confirmed on Monday next week.,
28/08/2026 16:36,28-08-2026,Manikandan,VIDHYA MAT HR SEC  SCHOOL,TAMBARAM,,,,,044 2277 9999,,,,,Cold,,,,,,,,,,"We met the admin staff during school closing time. The Principal was in a meeting, so the admin staff did not allow us to meet her.",
29/08/2026 13:15,29-08-2026,Kingsten,KENDRIYA VIDYALAYA OCF SCHOOL ,AVADI,300+,Grace,Secretary,,8838636380,,Career Guidance,No,,Hot,,,,,,,,,,,
29/08/2026 13:15,29-08-2026,Kingsten,KENDRIYA VIDYALAYA HVF SCHOOL ,AVADI,100+,,,,,,Career Guidance,No,,Warm,,,,,,,,,,,
29/08/2026 13:15,29-08-2026,Kingsten,KENDRIYA VIDYALAYA CRPF SCHOOL ,AVADI,,,,,,,Career Guidance,No,8th to 11th sep program,Hot,,,,,,,,,,,
31/08/2026 11:19,29-08-2026,Kingsten,KENDRIYA VIDYALAYA AFS SCHOOL ,AVADI,120,,,,,,Career Guidance,Yes,,CONDUCTED,,,,,,,Program Conducted,,,,
01/09/2026 17:37,01-09-2026,Manikandan,little holy Angels matriculation higher secondary school ,TNHB Colony Ayappakkam ,60,Hemavadhi,Principal,,9944699826,,Career Guidance,No,,Warm,,orentation program appointmrnt confirmed . final date will be updated sep 2nd,,,,,,,,Almost confirmed for October month. Spoke to VP on call. Got an appointment with principal tomorrow at 12 pm.,
01/09/2026 17:37,01-09-2026,Manikandan,Sri Venkateshwara Vidhyalaya CBSC School (main branch),"1513 E, Anna Nagar West Extension, Chennai - 600101",,,,,78459 12516,,,,,Cold,,,,,,,,,,"Got an appointment at 4 pm on 03-08-2026 to meet the principal in the main branch. This branch is enough, they will inform all other branches.",
01/09/2026 17:37,01-09-2026,Manikandan,Zamir Matriculation Higher secondary school ,"Ayapakkam, Chennai, Tamil Nadu",47+,Principal Ponrani,Principal,,7305829346,vinita.simon@zamar.org.in,Career Guidance,No,,Warm,,orentation program appointmrnt confirmed on oct . final date will be updated after consulting with management,,,,,,,,Orientation program appointment confirmed for October. Final date will be fixed after discussion with management.,
01/09/2026 17:37,01-09-2026,Kingsten,RCM MATRIC HR SEC SCHOOL ,AVADI,90+,Vimal,Secretary,,6380373843,,Career Guidance,No,8th to 11th sep program,Hot,,,,,08-09-2026,Schedule Career Guidance,Program Confirmed,,,Got Permission. Discussed with correspondant. Next Week plan to conduct orientation program. Followback tmw for getting date,Call back tmw for getting program date
01/09/2026 17:37,01-09-2026,Kingsten,NAZARETH MATRICULATION HR SEC SCHOOL,AVADI,400,,Admin,,,,Career Guidance,No,Oct 2nd week,Hot,0,,,,05-10-2026,Follow up with Principal,Follow-up Required,,,"GOT PERMISSION, Our student Adharsh studied this school. After oct 5th they will will date for conduct orientation program. Followup Oct 5th 2026",call back 5th oct 2026
01/09/2026 17:37,01-09-2026,Kingsten,NAZARETH ANNEX MATRIC HR SEC SCHOOL,AVADI,45+,,Admin,,044 26553893,,Career Guidance,No,11th Sep program,Hot,,,,,10-09-2026,Schedule Career Guidance,Program Confirmed,,,"Discussed with Principal, Got Permission. Next week plan to conduct program. They are requested combined 10th, 11th, 12th",11th sep 2026 10:00am program fixed
01/09/2026 17:37,01-09-2026,Kingsten,VGN CHINMAYA VIDYALAYA SCHOOL,AVADI,70,,Admin,,7401187644,,Career Guidance,No,,Warm,,,,,02-09-2026,Follow up with Principal,Follow-up Required,,,"Principal out of station, Once available means staff will let me know.",call back tmw
01/09/2026 17:37,01-09-2026,Kingsten,Ebenezer Jaganath Marcus Matriculation Higher Secondary School,AMBATTUR,60+,Rebecca,Secretary,,9710483672,,Career Guidance,No,,Hot,,,,,07-10-2026,,Program Confirmed,,,Discussed with principal Edia Marcus. Very Good discussion regarding this program. Got Permission,call back 7th oct 2026
01/09/2026 17:37,01-09-2026,Kingsten,PNET GLOBAL SCHOOL,AMBATTUR,,,,,,,Career Guidance,No,,Cold,,,,,,,,,,Principal struck with busy meeting right now. They requested official mail to this school,
01/09/2026 17:37,01-09-2026,Kingsten,Nathella Vidhyodaya,AMBATTUR,,,,,,,Career Guidance,No,,Cold,,,,,,,,,,THEY ARE NOT GIVEN THESE TYPE OF PROGRAM,
01/09/2026 17:37,01-09-2026,Kingsten,St. Joseph's Matriculation Higher Secondary School,AMBATTUR,,,,,,,Career Guidance,No,,Warm,,,,,,,,,,Principal struck with busy meeting right now. Call back after discussed with principal,Call back by tomorrow
01/09/2026 17:37,01-09-2026,Ajith Kumar,Alpha School,Porur,,,Admin,,,,Career Guidance,,,Warm,,,,,,Discuss with Management,Follow-up Required,,,Discussed with the principal sir. The head branch is in Nandanam CIT Nagar. They requested me to visit that branch after getting permission from that branch we can get permission here also.,
01/09/2026 17:37,01-09-2026,Ajith Kumar,Sathyayok matriculation school,Porur,,,Principal,,9840594171,,Career Guidance,,,Warm,,October 1st,,,,Follow up with Principal,Program Discussion Ongoing,,,Discussed with the principal ma'am. Almost got permission  but still she needs to confirm with their trustees after that she let us know the date to conduct the program.,
01/09/2026 17:37,01-09-2026,Ajith Kumar,St Jhon's School,Porur,,,Principal,,4424768857,,Career Guidance,,,Warm,,Ocober 1st week,,,,Follow up with Principal,Program Discussion Ongoing,,,Discussed with principal ma'am. Got positive response  she needs to confirm and discuss with the correspondent then update the date to conduct the program.,
01/09/2026 17:37,01-09-2026,Ajith Kumar,St paul's matric school,Porur,50+,Banu,Admin,,044 24762259,,Career Guidance,,,Warm,,Sep 3rd,,,,Discuss with Management,Program Confirmed,,,Discussed with co-ordinator . Got permission  after confirming with the correspondent she let me know the date and time. ,
01/09/2026 17:37,01-09-2026,Ajith Kumar,Grace matriclation school,Porur,150+,,Correspondent,,,,Career Guidance,,,Warm,,,,,,Discuss with Management,Program Discussion Ongoing,,,Discussed with correspondent Got positive response.He needs to discuss with principal and  check the available time. Then let us know,
01/09/2026 17:37,01-09-2026,Ajith Kumar,St mary's matric school ,Porur,,,Admin,,4424827676,,Career Guidance,,,Cold,,,,,,,,,,Principal not available.Spoke with admin usually they are not allowed this kind of programs. But still convinced her to consider these courses,
01/09/2026 17:37,01-09-2026,Ajith Kumar,Arulmigu meenakshi amman public school,Porur,15+ ,,Principal,,448676178,,Career Guidance,,,Warm,,October 1st week,,,,Follow up with Principal,Program Discussion Ongoing,,,Discussed with principal ma'am. Got permission she is interested to conduct this program.check and let us know the date.,
01/09/2026 17:37,01-09-2026,Ajith Kumar,Swamy's School,Porur,100+,,Admin,,,contact@swamysschool.com,Career Guidance,,,Warm,,,,,,Discuss with Management,Proposal Sent,,,Can't able to meet the principal without an appointment. They requested me to send details through  mail after that if they are interested they can get back,
01/09/2026 17:37,01-09-2026,Ajith Kumar,MKM Higher secondary school,Mugalivakkam,,,Admin,,4422523599,,Career Guidance,,,Warm,,September 2nd ,,,,Discuss with Management,Follow-up Required,,,Principal not available and Spoke with admin . Got positive response ,
01/09/2026 17:37,01-09-2026,Ajith Kumar,Pon vidyashram,Porur,,,Admin,,,,,,,Warm,,,,,,,,,,"Head office in Valasaravakkam. Get an appointment from that branch, then only we can get permission from here",
01/09/2026 17:37,01-09-2026,Ajith Kumar,Kalashetra,Poonamalle,,,Admin,,4426792244,,Career Guidance,,,Warm,,September 2nd ,,,,Discuss with Management,Follow-up Required,,,Principal busy . Met admin staff.After Discussed with the principal she will call back,
08/11/2026 17:30,11/08/2026,Peter,Jai Hind Matriculation School,Thirumazhisai,,Abarna ,Principal,,8754000238,,Scholarship Exam,No,,Warm,0,08/12/2026,21/08/2026,,24/08/2026,Follow up with Principal,Follow-up Required,,,waiting for correspondent approval ,call back by 7th sep
08/11/2026 17:35,11/08/2026,Peter,Gandhi Matriculation School,Avadi,,Stella,Principal,,9841598458,Revathi: 8124642398(commerce),Scholarship Exam,No,,Warm,0,14/08/2026,24/08/2026,,25/08/2026,Schedule Career Guidance,Program Discussion Ongoing,,,contacted with commerce mam monday will get the date for program. reminder to ask the count and 11 and 12 sci and commerce sep  /TOTAL COUNT 100 Pogram dt my next week conform wats up her,RNR ON 24TH
08/11/2026 17:40,08/11/2026,Peter,Sudharsanam vidyaashram,Avadi,,Latha ,Admin,,9884097976/044-2680 0979,principal@svschool.ac.in ,Scholarship Exam,No,,Warm,0,14/08/2026,21/08/2026,,24/08/2026,Schedule Meeting,Follow-up Required,,,have to followup with latha on 24 Aug ,have to send mail again 
08/11/2026 17:45,08/11/2026,Peter,Velammal Nexus,Avadi,,,Admin,,"7358309991,          7358069991",info.avadi@velammalnexux.com ,Scholarship Exam,No,,Cold,0,14/08/2026,,,14/08/2026,Follow up with admin,Follow-up Required,,,numbers not reachable ,coulnt able to reach any number 
08/11/2026 18:05,08/11/2026,Saranya,St.john's MHSS,Porur,,Mr.Praveen christopher,Correspondent,,9444087569,,Career Guidance,,,Hot,1,18/08/2026,,,,Schedule Career Guidance,Program Confirmed,8.0,,Correspondent is out of station will b back in next week,Met correspondant program scheduled on september 9th
08/11/2026 18:10,08/11/2026,Pandurangan,Maharishi,suguvasathiram,250,Mrs. Lavanya   ,Principal,,9655489883,commerce sir Elanzeliyan   8072035208,Multiple Programs,Yes,Awarness Program,CONDUCTED,,,,,,,Program Conducted,,,,
08/12/2026 18:00,08/12/2026,Peter,Sri lakshminarayana MHSS,Selavoyal,,Mr. Koushik,Correspondent,,8056918985,,Scholarship Exam,No,,Cold,,,,,21/10/2026,Follow up with Correspondent,Interested,,,Met koushik sir and fixed program date after 21st september,
08/12/2026 18:20,08/12/2026,Peter,Sri lakshmi Narayana School,"Selaivayal, Kodungaiyur (West), Lakshmi Ammal Nagar, Kodungaiyur, Chennai, Tamil Nadu 600051",,Mr. Logesh,Academic Head,,8939213330 / 9551473287,,Career Guidance,No,,Warm,0,,,,,Send Proposal,Interested,,,,have to co-ordinate with their commerce staff
08/12/2026 18:25,08/12/2026,Peter,dayasadan agarwal vidyalaya,"127, Poonamallee High Rd, Maduravoyal, Nerkundram, Chennai, Greater Chennai, Tamil Nadu 600107",,Mrs. Rekha,Admin,,7010955141,info@dsav.in,Scholarship Exam,No,,Warm,0,,,,24/08/2026,Schedule Meeting,Follow-up Required,,,waiting to arrange the meeting with principal ,principal having busy schedule so they let us know call back on sep 1st week 
08/12/2026 18:30,08/12/2026,Peter,daniel thomas school,"High Rd, 1184, Poonamallee High Rd, Koyambedu, Chennai, Tamil Nadu 600107",,Mr. Sanjay Kumar,Coordinator,,9884097346,sanjaykumar@danielthomas.in,Scholarship Exam,No,,Warm,0,,,,24/08/2026,Send Proposal,Follow-up Required,,,,have  to send mail for both scienece and commerce students about  oriention programme and the event will be on october 1st week 
08/12/2026 18:35,08/12/2026,Peter,velankanni public school,"I, Phase, II, R-10, Block, Muthamizh Nagar, Kodungaiyur, Chennai, Greater Chennai, Tamil Nadu 600118",,Mrs. PS Ganga,Principal,,9884800370,velankannipublicschool@gmail.com,Scholarship Exam,No,,Warm,0,,,,25/08/2026,Send Proposal,Follow-up Required,,,waiting for principal approval and KK academy used to conduct the exam every year ,call back tomo 2nd sep
08/12/2026 18:40,08/12/2026,Peter,smk vidhyashram,"No: 92/1&9, Muthamizh Nagar, Kodungaiyur, Chennai, Tamil Nadu 600118",,Mrs. Joyce Mary,Coordinator,,7358561297,smkvidhyasharamqb2428@gmail.com,Scholarship Exam,No,,Warm,0,21/08/2026,,,,Schedule Scholarship Exam,Follow-up Required,,,wats up her to the same number,
14/08/2026 18:45,14/08/2026,Peter,sri chaitanya techno school,"Plot No:184 Pattabiram Main Road, Sokkanallur, Kolappancheri, Poonamallee, Chennai, Tamil Nadu 600072",,Mr. Ravendra,Principal,,7397753713,poonamalleesrprincipal@srichaitanyaschool.in,Career Guidance,No,,Cold,,,,,,Send Proposal,Follow-up Required,,,,school will not to do career guidance 
14/08/2026 18:50,14/08/2026,Peter,sri buddha vidhya mandir,"Rajeswari Nagar, Kavalcheri Road, Chennai, Thirumazhisai, Tamil Nadu 600124",,Mrs. Anu,Principal,,9486536285,,Career Guidance,No,,Warm,,,,,,Send Proposal,Follow-up Required,,,,
14/08/2026 18:55,14/08/2026,Peter,chennai public school,"TH Road, SH 50, Thirumazhisai, Tamil Nadu 600124",,,Admin,,4435003777,principal.gec@chennaipublicschool.com,Scholarship Exam,No,,Cold,,,,,23/058/2026,Schedule Meeting,Follow-up Required,,,arranging meeting with principal ,called on 24 aug will check with the PS and let us know ...
17/08/2026 19:00,17/08/2026,Peter,Spartan International School,"no.570, kannadasan street, Chembarambakkam, Chennai, Tamil Nadu 600123",,Mr. John,Admin,,7550081772,sischembarambakkam@gmail.com,Scholarship Exam,No,,Cold,,,,,22/08/2026,Proposal sent ,Follow-up Required,,,arranging meeting with principal ,RNR on 24 AUG
17/08/2026 19:05,17/08/2026,Peter,Loyola International Residential School,"Palanchur, Nazarethpet Post, Chennai – Bangalore, National Highway, opp. Queensland & Inside of DMI Campus, Chennai, Tamil Nadu 600123",,Mr. Johnson,Principal,,7299008423,,Scholarship Exam,No,,Cold,,,,,22/08/2026,,,,,,will not allow those kind of programmes inside the campus ..
31/08/2026 11:20,31-08-2026,Manikandan,D.A.V Senior secondary ,"R-45, 120 Feet Road, Mogappair, Chennai - 600050",,Smt. Sreela Sreedharan,Vice Principal,,044-26242340,,Career Guidance,,,Warm,,,,,,,Follow-up Required,,,"Got a very positive response from DAV School (Boys & Girls). They have asked us to speak with the Head Branch at Gopalapuram. Once we get permission from there, we will get approval for orientation in all DAV Schools across Chennai (both Boys & Girls).",Need to Visit Gopalapuram main branch 
31/08/2026 12:00,31-08-2026,Manikandan,Vels Global school ,"432, Seethakathi Salai, Paneer Nagar, J J Nagar, Mogappair East, Chennai - 600037",64,,,principal - Ms. Ramya Saneel,7299099155,admissions.mogappair@velsgroup.in,,,,Cold,,,,,,,,,,"Rejected. They have both aviation, logistics management like courses and B.Com integrated with CA, CMA course in Vels University.",
31/08/2026 12:20,31-08-2026,Manikandan,Spartan School ,Mogappair ,,,Admin,,044 2681 0171 - chembarambakkam ,,Career Guidance,,,Cold,,,,,,,,,,"Got an appointment to meet the Principal at Spartan School, Chembarambakkam but already we visited the school in chembarambakkam and got an appointment ",
31/08/2026 12:45,31-08-2026,Manikandan,M.G.R. Adarsh School.,"14, 31st Street, Periyar Nagar, TNHB Colony, Korattur, Chennai - 600050",,Rathi,Secretary,,044 2656 2359,,Career Guidance,,,Warm,,,,,,,Follow-up Required,,,"Need follow up after September. Asked to call once, if interested they will allow based on the situation in October.",
31/08/2026 13:30,31-08-2026,Manikandan,Shamrock Metriculation HR SEC School,"No. 37, Maduraisami Madam Street, Perambur, Chennai - 600011",53,Vidhya Balasubramaniam,Principal,,044 2656 4739,,Career Guidance,,,Warm,,,,,Next Monday (7th of September) santhosh  sir have to talk and get the date],,Follow-up Required,,,Got an appointment for orientation. Date will be fixed after the Principal speaks to Shantosh Sir.,
31/08/2026 13:45,31-08-2026,Manikandan,Priya Matriculation Higher Secondary School,Mogappair ,17,Meena,Teacher,,97101 94338,,,,,Cold,,,,,,,,,,Got an appointment tomorrow to meet the principal,
31/08/2026 13:45,31-08-2026,Manikandan,Chennai Public School,"Radial Nagar, TVS Ave, Anna Nagar West Extension, Chennai - 600101",,,,,9677089077,,,,,Cold,,,,,,,,,,"Yet to visit, principal is not available",
31/08/2026 14:15,31-08-2026,Manikandan,Leo Matriculation Higher Secondary School,"1, Main Road, Sudarshan Nagar, Madambakkam, Chennai - 600126",50,Mrs. Nancy,Principal,,7305666486,,Career Guidance,No,,Hot,,program fixed on oct 5th,,,1st October (Just an Remainder For Orientation),Schedule Career Guidance,Program Confirmed,,,"5th of October 46296 Principal: 7305666486, Shruthi (admin): 7305666487",
31/08/2026 14:45,31-08-2026,Manikandan,S.B.O.A. Matriculation & hr. Sec. School,"1513 E, Anna Nagar West Extension, Chennai - 600101",275,,,,,,,,,Cold,,,,,,,,,,Principal is interested. Asked me to come and meet the Correspondent tomorrow or the day after.,
31/08/2026 15:15,31-08-2026,Manikandan,SBOA School & Junior College,"18, School Road, Anna Nagar West Extension, Chennai - 600101",450,,,,,,,,,Cold,,,,,,,,,,October Orientation - Fixed. Principal will confirm the final date directly with Shantosh Sir after speaking to him.,
31/08/2026 15:45,31-08-2026,Manikandan,VELAMMAL NEXUS,"Velammal Gardens, TS Krishna Nagar, Mogappair, Chennai, Tamil Nadu 600037",~ 1110,Principal Yuvaraj,Principal,,76039 09244,,,,,Warm,,,,,,,,,,Principal is in urgent Meeting so i cant able to meet him,"
Status: Positive Response
They need to discuss with management whether to go with a stall or an orientation program. Asked me to follow up via message and call on Monday. The principal is very much interested but management needs to approve"
31/08/2026 16:00,31-08-2026,Manikandan,DSG Vivekanandha Vidyalaya,Athipet,,,,,,,,,,Cold,,,,,,,,,,got an appointment tomorrow to meet the principal at 2:00,
,28-08-2026,Manikandan,Sri Ramakrishna Higher Secondary School,"South St, Tambaram West, Chennai - 600045",,,,,,,,,,Cold,,,,,,,,,,Met principal secretary they won't allow to conduct any kind of this program in their school,
,28-08-2026,Manikandan,Sir & Lady M. Venkatasubba Rao Higher Secondary School,"GST Road, Tambaram, Chennai, Tamil Nadu 600045",,,,,,,,,,Cold,,,,,,,,,,The principal and all the staff and students are at the sports day function so they ask us to come and meet tomorrow or any other day,
,28-08-2026,Manikandan,"Zion Hr. Sec. School, Madambakkam","East Tambaram, Velachery Tambaram Main Road, Selaiyur, Chennai - 600073",,,,,,,,,,Cold,,,,,,,,,,,
,31-08-2026,Manikandan,DAV BOYS SENIOR SECONDARY SCHOOL,"120 Feet Road, Anna Nagar W Ext Rd, Mogappair, Chennai, Tamil Nadu 600050",,Smt. S. Nandhini,,,044-2453297,boys.mogappair@davchennai.org,,,,Cold,,,,,,,,,,"Got a very positive response from DAV School (Boys & Girls). They have asked us to speak with the Head Branch at Gopalapuram. Once we get permission from there, we will get approval for orientation in all DAV Schools across Chennai (both Boys & Girls).",
,01-09-2026,Manikandan,Ebenezer Higher Secondary School,"9th St, TNHB Colony, Korattur, Chennai, Tamil Nadu 600050",,,,,87545 85126,,,,,Cold,,,,,,,,,,Principal mam is not available. Need follow up. It has only 2 branches Korattur and Yelagiri.,
,01-09-2026,Manikandan,Bhaktavatsalam Vidyashram,"14, 31st Street, TNHB Colony, Korattur, Chennai - 600050",,,,,,,,,,Cold,,,,,,,,,,Need appointment to meet the principal. They asked us to call and get an appointment and visit on 3rd of Sep at 4:00 pm.,
,01-09-2026,Manikandan,Little Holy Angels Higher Secondary School,"Railway Station Rd, Periyar Nagar, Korattur, Chennai, Tamil Nadu 600050",,,,,044-26359145,littleholyangelskorattur@gmail.com,,,,Warm,,,,,,,,,,Almost confirmed for October month. Spoke to VP on call. Got an appointment with principal tomorrow at 12 pm.,
,01-09-2026,Manikandan,Vailankanni Matriculation Higher Secondary School,"ST. PETERS UNIVERSITY, St Peter College Rd, Vivekananda Nagar, Annanur, 600054",30,,,,,,,,,Warm,,october 2nd week,,,,,,,,Almost confirmed in October month they will call back and let us inform regarding dates,
,9/2/2026 15:48:02,Saranya,ANCH SCHOOLS,redhills,,Kavitha,,,9876543210,,,,,,,,,,,,,,,,
,9/2/2026 15:59:17,,Abc school,Ambattur,,Vp,,,9876654433,,,,,,,,,,,,,,,,
,02-09-2026,Manikandan,Sacred hearts metric hr sec school,"Church St, Near St.Thomas Malankara Church, Sathya Nagar, Padi, Chennai, Tamil Nadu 600050",80 +,,,,,,,,,Warm,,,,,,,,,," Appointment confirmation, tomorrow morning 8:30 I have a meeting with correspondence to discuss and confirm the date ",
 ,02-09-2026,Manikandan,Mar Gregorios school,"Block No. 8, School Road, Mogappair West, Chennai, Tamil Nadu 600037",,,,,,,,,,Cold,,,,,,,,,,"Rejected Reason: They are conducting CA training in-house and organize this kind of orientation themselves every year with their college, so they will not allow an external program.",
,02-09-2026,Manikandan,dawn school school,"Andal Ammal Extension Street, Nolambur, Mogappair West, Chennai, Tamil Nadu 600095",,,,,91500 28555 ,,,,,Cold,,,,,,,,,,Need an appointment to meet for dawn school,
,03-09-2026,Kingsten,GOOD WORD PUBLIC SCHOOL,REDHILLS,50,,Principal,,,,Career Guidance,No,,Hot,,,,,CALL BACK NEXT WEEK,Follow up with Principal,Program Confirmed,,,"Got Permission, They have already scheduled for this year. They need time to schedule for our program. Update back the scheduled date by next week.",
,03-09-2026,Kingsten,Good Shepherd's Global Matric Higher Secondary School,REDHILLS,100,,Principal,,,,Career Guidance,,,Hot,,,,,,,,,,"Principal is very much interested for this program. But they have an 11th students,  Next year only plan to conduct here. Approximately 100 students studying here in 11th",
,03-09-2026,Kingsten,SRI KALAIVANI VIDYALAYA SCHOOL,REDHILLS,,KALAIVANI,Principal,,9790959832,,,,,Warm,,,,,,Follow up with Principal,Program Discussion Ongoing,,,Discussed with principal. Got Permission. They will  update scheduled date by next week after discussed with correspondant.,
,03-09-2026,Kingsten,VIVEKANANDA MATRIC HR SEC SCHOOL,REDHILLS,,,Principal,,9080744979,,Career Guidance,No,,Hot,,,,,CALL BACK OCT 5TH,Follow up with Principal,Program Confirmed,,,Discussed with CEO Mr.Arulmozhivarman. Got Permission. October 2nd week plan to conduct orientation program. ,
